Code d�partement,Code de la commune,Cl� unique,Commune,Couleur politique
80,1,80_1,Abbeville,LUG
78,5,78_5,Ach�res,LCOM
62,4,62_4,Achicourt,LSOC
35,1,35_1,Acign�,LSOC
976,501,976_501,ACOUA,LMAJ
34,3,34_3,Agde,LMAJ
47,1,47_1,Agen,LMAJ
50,2,50_2,Agneaux,LDVD
30,3,30_3,Aigues-Mortes,LSOC
47,4,47_4,Aiguillon,LDVG
30,6,30_6,Aimargues,LDVG
62,14,62_14,Aire-sur-la-Lys,LDVG
13,1,13_1,Aix-en-Provence,LMAJ
81,4,81_4,Albi,LMC
57,12,57_12,Algrange,LDVG
72,3,72_3,Allonnes,LUG
1,4,1_4,Amb�rieu-en-Bugey,LUG
63,3,63_3,Ambert,LUG
80,21,80_21,Amiens,LUG
69,6,69_6,Amplepuis,LCMD
42,5,42_5,Andr�zieux-Bouth�on,LDVD
49,7,49_7,Angers,LUG
64,24,64_24,Anglet,LUG
16,15,16_15,Angoul�me,LUG
62,33,62_33,Annay,LSOC
59,14,59_14,Anzin,LGC
973,360,973_360,Apatou,LDVG
84,3,84_3,Apt,LSOC
30,12,30_12,Aramon,LCOM
62,38,62_38,Ardres,LDVD
95,18,95_18,Argenteuil,LUG
56,3,56_3,Arradon,LDVG
57,32,57_32,Ars-sur-Moselle,LSOC
987,12,987_12,Arue,LMAJ
92,4,92_4,Asni�res-sur-Seine,LGC
91,27,91_27,Athis-Mons,LSOC
13,5,13_5,Aubagne,LGC
7,19,7_19,Aubenas,LMAJ
59,24,59_24,Auberchicourt,LSOC
93,1,93_1,Aubervilliers,LSOC
63,14,63_14,Aubi�re,LUG
12,13,12_13,Aubin,LUG
59,28,59_28,Auby,LCOM
32,13,32_13,Auch,LUG
33,19,33_19,Audenge,LSOC
62,57,62_57,Audruicq,LDVD
93,5,93_5,Aulnay-sous-Bois,LUG
15,14,15_14,Aurillac,LUG
71,14,71_14,Autun,LDVG
21,38,21_38,Auxonne,LMAJ
59,37,59_37,Avesnes-les-Aubert,LDVG
84,7,84_7,Avignon,LMAJ
17,28,17_28,Aytr�,LSOC
93,6,93_6,Bagnolet,LCOM
30,28,30_28,Bagnols-sur-C�ze,LSOC
35,12,35_12,Bain-de-Bretagne,LCMD
34,23,34_23,Balaruc-les-Bains,LDVG
83,9,83_9,Bandol,LDVD
976,502,976_502,BANDRABOUA,LSOC
976,503,976_503,BANDRELE,LMAJ
66,16,66_16,Banyuls-sur-Mer,LDVD
55,29,55_29,Bar-le-Duc,LSOC
10,33,10_33,Bar-sur-Aube,LDVG
16,28,16_28,Barbezieux Saint-Hilaire,LSOC
44,9,44_9,Basse-Goulaine,LDVD
971,105,971_105,Basse-Terre,LMAJ
2B,33,2B_33,Bastia,LUG
64,102,64_102,Bayonne,LMC
33,36,33_36,Bazas,LMC
30,32,30_32,Beaucaire,LDVD
95,51,95_51,Beauchamp,LDVD
63,32,63_32,Beaumont,LDVG
95,52,95_52,Beaumont-sur-Oise,LDVG
6,12,6_12,Beausoleil,LDVD
60,57,60_57,Beauvais,LMAJ
84,16,84_16,B�darrides,LDVG
57,58,57_58,Behren-l�s-Forbach,LDVG
90,10,90_10,Belfort,LUG
87,11,87_11,Bellac,LUG
3,23,3_23,Bellerive-sur-Allier,LUG
1,34,1_34,Belley,LDVG
67,28,67_28,Benfeld,LDVD
62,108,62_108,Berck,LUG
24,37,24_37,Bergerac,LUG
59,67,59_67,Bergues,LDVG
27,56,27_56,Bernay,LMAJ
62,119,62_119,B�thune,LDVG
62,126,62_126,Beuvry,LUG
1,43,1_43,Beynost,LDVD
64,122,64_122,Biarritz,LCMD
64,125,64_125,Bidart,LDVD
33,51,33_51,Biganos,LDVG
76,95,76_95,Bihorel,LMAJ
64,129,64_129,Bill�re,LSOC
63,40,63_40,Billom,LSOC
22,7,22_7,Binic,LUG
6,18,6_18,Biot,LMAJ
40,46,40_46,Biscarrosse,LMAJ
14,76,14_76,Blainville-sur-Orne,LSOC
37,27,37_27,Bl�r�,LMAJ
41,18,41_18,Blois,LUG
2,95,2_95,Bohain-en-Vermandois,LUG
76,108,76_108,Bois-Guillaume,LMAJ
77,37,77_37,Bois-le-Roi,LDVD
77,40,77_40,Boissise-le-Roi,LDVD
94,4,94_4,Boissy-Saint-L�ger,LDVG
76,114,76_114,Bolbec,LDVG
84,19,84_19,Boll�ne,LDVD
72,39,72_39,Bonn�table,LDVG
74,43,74_43,Bons-en-Chablais,LDVD
42,22,42_22,Bonson,LCMD
65,100,65_100,Bord�res-sur-l'Echez,LDVG
64,140,64_140,Boucau,LUG
59,92,59_92,Bouchain,LCMD
49,35,49_35,Bouchemaine,LSOC
976,504,976_504,BOUENI,LDVD
78,92,78_92,Bougival,LMAJ
971,106,971_106,Bouillante,LDVG
30,47,30_47,Bouillargues,LDVD
92,12,92_12,Boulogne-Billancourt,LMAJ
988,870,988_870,Bourail,LDVD
73,54,73_54,Bourg-Saint-Maurice,LDVD
974,402,974_402,Bras-Panon,LMAJ
29,19,29_19,Brest,LUG
91,103,91_103,Br�tigny-sur-Orge,LSOC
5,23,5_23,Brian�on,LMAJ
45,53,45_53,Briare,LDVG
50,82,50_82,Bricquebec,LMAJ
83,23,83_23,Brignoles,LDVG
69,28,69_28,Brindas,LMAJ
19,31,19_31,Brive-la-Gaillarde,LGC
77,55,77_55,Brou-sur-Chantereine,LMAJ
59,112,59_112,Bruay-sur-l'Escaut,LUG
91,114,91_114,Brunoy,LMAJ
35,47,35_47,Bruz,LDVG
78,117,78_117,Buc,LMAJ
91,122,91_122,Bures-sur-Yvette,LMC
77,58,77_58,Bussy-Saint-Georges,LDVD
13,18,13_18,Cabannes,LMAJ
14,117,14_117,Cabourg,LDVD
13,19,13_19,Cabri�s,LMC
14,118,14_118,Caen,LUG
46,42,46_42,Cahors,LUG
62,193,62_193,Calais,LMAJ
84,29,84_29,Camaret-sur-Aigues,LSOC
35,49,35_49,Cancale,LDVD
6,29,6_29,Cannes,LMAJ
66,38,66_38,Canoh�s,LSOC
971,107,971_107,Capesterre-Belle-Eau,LMAJ
11,69,11_69,Carcassonne,LMAJ
50,99,50_99,Carentan,LDVD
29,24,29_24,Carhaix-Plouguer,LDVG
84,31,84_31,Carpentras,LSOC
78,124,78_124,Carri�res-sur-Seine,LDVD
972,205,972_205,Case-Pilote,LDVD
13,22,13_22,Cassis,LMC
31,113,31_113,Castanet-Tolosan,LDVD
31,118,31_118,Castelnau-d'Estr�tefonds,LSOC
82,33,82_33,Castelsarrasin,LDVD
81,65,81_65,Castres,LMAJ
84,34,84_34,Caumont-sur-Durance,LDVD
82,37,82_37,Caussade,LMAJ
84,35,84_35,Cavaillon,LMAJ
83,36,83_36,Cavalaire-sur-Mer,LDVD
95,127,95_127,Cergy,LSOC
35,51,35_51,Cesson-S�vign�,LSOC
51,108,51_108,Ch�lons-en-Champagne,LMAJ
37,50,37_50,Chambray-l�s-Tours,LUG
74,56,74_56,Chamonix-Mont-Blanc,LDVD
69,40,69_40,Champagne-au-Mont-d'Or,LMAJ
72,58,72_58,Chang�,LDVG
35,55,35_55,Chantepie,LCMD
8,105,8_105,Charleville-M�zi�res,LUG
71,105,71_105,Charnay-l�s-M�con,LMAJ
28,85,28_85,Chartres,LMAJ
69,271,69_271,Chassieu,LUG
85,60,85_60,Ch�teau-d'Olonne,LDVD
2,168,2_168,Ch�teau-Thierry,LDVG
28,88,28_88,Ch�teaudun,LDVD
29,26,29_26,Ch�teaulin,LDVD
45,82,45_82,Ch�teauneuf-sur-Loire,LGC
63,103,63_103,Ch�telguyon,LMAJ
86,66,86_66,Ch�tellerault,LMC
92,20,92_20,Ch�tillon,LMAJ
1,93,1_93,Ch�tillon-sur-Chalaronne,LMAJ
78,146,78_146,Chatou,LMAJ
92,22,92_22,Chaville,LMAJ
94,19,94_19,Chennevi�res-sur-Marne,LGC
94,21,94_21,Chevilly-Larue,LUG
78,160,78_160,Chevreuse,LMAJ
976,505,976_505,CHICONI,LAUT
37,72,37_72,Chinon,LUG
94,22,94_22,Choisy-le-Roi,LUG
60,155,60_155,Cires-l�s-Mello,LDVD
38,111,38_111,Claix,LMAJ
92,23,92_23,Clamart,LUG
58,79,58_79,Clamecy,LDVG
63,113,63_113,Clermont-Ferrand,LUG
92,24,92_24,Clichy,LUG
29,31,29_31,Clohars-Carno�t,LDVG
71,137,71_137,Cluny,LUG
74,81,74_81,Cluses,LMAJ
16,102,16_102,Cognac,LUG
83,42,83_42,Cogolin,LDVD
69,63,69_63,Collonges-au-Mont-d'Or,LDVD
68,66,68_66,Colmar,LMC
92,25,92_25,Colombes,LUG
3,82,3_82,Commentry,LMAJ
29,39,29_39,Concarneau,LDVD
32,107,32_107,Condom,LSOC
69,273,69_273,Corbas,LUG
91,174,91_174,Corbeil-Essonnes,LMAJ
95,176,95_176,Cormeilles-en-Parisis,LDVD
58,86,58_86,COSNE COURS SUR LOIRE,LUG
59,155,59_155,Coudekerque-Branche,LDVG
24,138,24_138,Coulounieix-Chamiers,LDVG
84,39,84_39,Courth�zon,LDVD
50,147,50_147,Coutances,LMAJ
33,138,33_138,Coutras,LUG
74,94,74_94,Cranves-Sales,LDVD
69,69,69_69,Craponne,LDVD
77,143,77_143,Cr�gy-l�s-Meaux,LSOC
60,175,60_175,Creil,LUG
60,176,60_176,Cr�py-en-Valois,LDVD
29,42,29_42,Crozon,LDVD
74,96,74_96,Cruseilles,LDVG
83,49,83_49,Cuers,LMAJ
31,157,31_157,Cugnaux,LUG
3,95,3_95,Cusset,LUG
11,116,11_116,Cuxac-d'Aude,LDVD
59,168,59_168,Cysoing,LDVD
76,212,76_212,Darn�tal,LDVD
40,88,40_88,Dax,LUG
69,275,69_275,D�cines-Charpieu,LUG
976,507,976_507,DEMBENI,LAUT
971,111,971_111,Deshaies,LDVG
26,113,26_113,Die,LDVD
54,157,54_157,Dieulouard,LDVD
4,70,4_70,Digne-les-Bains,LDVG
35,93,35_93,Dinard,LDVD
39,198,39_198,Dole,LUG
3,101,3_101,Dom�rat,LUG
59,178,59_178,Douai,LMAJ
80,253,80_253,Doullens,LDVD
91,200,91_200,Dourdan,LDVD
74,105,74_105,Douvaine,LDVD
62,276,62_276,Douvrin,LDVD
83,50,83_50,Draguignan,LMAJ
28,134,28_134,Dreux,LMAJ
972,207,972_207,Ducos,LDVG
988,835,988_835,Dumb�a,LMAJ
976,508,976_508,DZAOUDZI,LDVG
95,203,95_203,Eaubonne,LSOC
95,205,95_205,Ecouen,LSOC
54,174,54_174,ECROUVES,LAUT
69,81,69_81,Ecully,LDVD
56,53,56_53,Elven,LDVG
77,169,77_169,Emerainville,LMAJ
13,33,13_33,Ensu�s-la-Redonne,LDVG
974,403,974_403,Entre-Deux,LDVD
51,230,51_230,Epernay,LMAJ
78,217,78_217,Ep�ne,LDVD
29,51,29_51,Ergu�-Gab�ric,LDVD
53,96,53_96,Ern�e,LDVD
37,104,37_104,Esvres,LGC
62,318,62_318,Etaples,LDVG
76,255,76_255,Eu,LUG
62,321,62_321,Evin-Malmaison,LCOM
27,229,27_229,Evreux,LDVG
53,97,53_97,Evron,LDVG
13,35,13_35,Eygui�res,LDVD
74,123,74_123,Faverges,LDVD
83,55,83_55,Fayence,LDVD
31,182,31_182,Fenouillet,LSOC
1,160,1_160,Ferney-Voltaire,LVEC
42,94,42_94,Feurs,LDVD
42,95,42_95,Firminy,LUG
45,147,45_147,Fleury-les-Aubrais,LCMD
57,221,57_221,Florange,LUG
34,101,34_101,Florensac,LSOC
9,122,9_122,Foix,LSOC
37,109,37_109,Fondettes,LGC
31,187,31_187,Fonsorbes,LSOC
38,169,38_169,Fontaine,LUG
21,278,21_278,Fontaine-l�s-Dijon,LMAJ
77,186,77_186,Fontainebleau,LMAJ
85,92,85_92,Fontenay-le-Comte,LSOC
57,227,57_227,Forbach,LSOC
95,250,95_250,Fosses,LUG
70,245,70_245,Fougerolles,LDVG
59,249,59_249,Fourmies,LUG
76,475,76_475,Franqueville-Saint-Pierre,LDVD
59,253,59_253,Fresnes-sur-Escaut,LVEC
93,32,93_32,Gagny,LMAJ
74,133,74_133,Gaillard,LDVD
27,275,27_275,Gaillon,LSOC
64,230,64_230,Gan,LDVG
5,61,5_61,Gap,LMC
83,64,83_64,Gar�oult,LMAJ
78,267,78_267,Gargenville,LDVD
95,268,95_268,Garges-l�s-Gonesse,LDVD
69,277,69_277,Genas,LDVD
