Année,Rang,Département,Revenu
2012,1,Paris,3 396 €
2012,2,Hauts-de-Seine,3 287 €
2012,3,Yvelines,3 107 €
2012,4,Haute-Savoie,2 686 €
2012,5,Essonne,2 485 €
2012,6,Val-de-Marne,2 387 €
2012,7,Ain,2 342 €
2012,8,Rhône,2 317 €
2012,9,Seine-et-Marne,2 308 €
2012,10,Haut-Rhin,2 279 €
2012,11,Val-d'Oise,2 239 €
2012,12,Haute-Garonne,2 201 €
2012,13,Alpes-Maritimes,2 186 €
2012,14,Bas-Rhin,2 181 €
2012,15,Isère,2 157 €
2012,16,Loire-Atlantique,2 145 €
2012,17,Savoie,2 138 €
2012,18,Marne,2 126 €
2012,19,Côte-d'Or,2 099 €
2012,20,Loiret,2 097 €
2012,21,Ille-et-Vilaine,2 095 €
2012,22,Oise,2 094 €
2012,23,Doubs,2 090 €
2012,24,Eure-et-Loir,2 084 €
2012,25,Gironde,2 078 €
2012,26,Var,2 046 €
2012,27,Indre-et-Loire,2 040 €
2012,28,Territoire de Belfort,2 039 €
2012,29,Bouches-du-Rhône,2 033 €
2012,30,Pyrénées-Atlantiques,2 029 €
2012,31,Eure,1 999 €
2012,32,Calvados,1 986 €
2012,33,Moselle,1 981 €
2012,34,Meurthe-et-Moselle,1 981 €
2012,35,Loir-et-Cher,1 972 €
2012,36,Puy-de-Dôme,1 958 €
2012,37,Finistère,1 955 €
2012,38,Morbihan,1 954 €
2012,39,Maine-et-Loire,1 954 €
2012,40,Seine-Maritime,1 948 €
2012,41,Jura,1 936 €
2012,42,Vendée,1 924 €
2012,43,Aube,1 921 €
2012,44,Drôme,1 912 €
2012,45,Landes,1 904 €
2012,46,Charente-Maritime,1 900 €
2012,47,Sarthe,1 900 €
2012,48,Côtes-d'Armor,1 898 €
2012,49,Vienne,1 895 €
2012,50,Corse-du-Sud,1 892 €
2012,51,Loire,1 887 €
2012,52,Mayenne,1 886 €
2012,53,Saône-et-Loire,1 882 €
2012,54,Hérault,1 877 €
2012,55,Hautes-Alpes,1 874 €
2012,56,Yonne,1 867 €
2012,57,Nord,1 866 €
2012,58,Deux-Sèvres,1 858 €
2012,59,Haute-Vienne,1 856 €
2012,60,Cher,1 840 €
2012,61,Manche,1 840 €
2012,62,Somme,1 830 €
2012,63,Vaucluse,1 827 €
2012,64,Corrèze,1 820 €
2012,65,Alpes-de-Haute-Provence,1 819 €
2012,66,Tarn,1 806 €
2012,67,Gard,1 806 €
2012,68,Charente,1 803 €
2012,69,Ardèche,1 794 €
2012,70,Lot,1 792 €
2012,71,Aveyron,1 788 €
2012,72,Haute-Saône,1 779 €
2012,73,Haute-Loire,1 763 €
2012,74,Vosges,1 763 €
2012,75,Meuse,1 762 €
2012,76,Gers,1 756 €
2012,77,Aisne,1 754 €
2012,78,Hautes-Pyrénées,1 753 €
2012,79,Lot-et-Garonne,1 750 €
2012,80,Orne,1 749 €
2012,81,Tarn-et-Garonne,1 743 €
2012,82,Seine-Saint-Denis,1 743 €
2012,83,Allier,1 740 €
2012,84,Haute-Marne,1 738 €
2012,85,Ardennes,1 723 €
2012,86,Indre,1 719 €
2012,87,Haute-Corse,1 717 €
2012,88,Nièvre,1 717 €
2012,89,Pyrénées-Orientales,1 711 €
2012,90,Lozère,1 709 €
2012,91,Pas-de-Calais,1 708 €
2012,92,Cantal,1 706 €
2012,93,Dordogne,1 704 €
2012,94,Aude,1 655 €
2012,95,Ariège,1 649 €
2012,96,Creuse,1 546 €
2012,97,Guyane,1 460 €
2012,98,Martinique,1 429 €
2012,99,La Réunion,1 409 €
2012,100,Guadeloupe,1 323 €
