"Tables Départements et académies","Tables Effectifs scolarisés (1)","Tables Effectifs d’habitants","Tables Taux de scolari- sation (%)","title","doc_id","type","uploaded_from","doc_meta_data","folder_name","folder_id","created_at_iso","modified_at_iso","status","review_url","user_doc_id"
"Alpes-de-Haute Provence","30 188","160 945","18,8","Scolatiration 2022.pdf","bb57163bcf444fbea80bb179749e8410","table_vision","api","","","","2025-03-06T10:45:13+00:00","2025-03-06T10:45:39+00:00","reviewing","https://app.docsumo.com/review-document/bb57163bcf444fbea80bb179749e8410",""
"Hautes-Alpes","25 919","137 952","18,8","Scolatiration 2022.pdf","bb57163bcf444fbea80bb179749e8410","table_vision","api","","","","2025-03-06T10:45:13+00:00","2025-03-06T10:45:39+00:00","reviewing","https://app.docsumo.com/review-document/bb57163bcf444fbea80bb179749e8410",""
"Bouches-du-Rhône","467 111","1 988 563","23,5","Scolatiration 2022.pdf","bb57163bcf444fbea80bb179749e8410","table_vision","api","","","","2025-03-06T10:45:13+00:00","2025-03-06T10:45:39+00:00","reviewing","https://app.docsumo.com/review-document/bb57163bcf444fbea80bb179749e8410",""
"Vaucluse","122 936","547 181","22,5","Scolatiration 2022.pdf","bb57163bcf444fbea80bb179749e8410","table_vision","api","","","","2025-03-06T10:45:13+00:00","2025-03-06T10:45:39+00:00","reviewing","https://app.docsumo.com/review-document/bb57163bcf444fbea80bb179749e8410",""
"Aix-Marseille","646 154","2 834 641","22,8","Scolatiration 2022.pdf","bb57163bcf444fbea80bb179749e8410","table_vision","api","","","","2025-03-06T10:45:13+00:00","2025-03-06T10:45:39+00:00","reviewing","https://app.docsumo.com/review-document/bb57163bcf444fbea80bb179749e8410",""
"Aisne","114 293","543 469","21,0","Scolatiration 2022.pdf","bb57163bcf444fbea80bb179749e8410","table_vision","api","","","","2025-03-06T10:45:13+00:00","2025-03-06T10:45:39+00:00","reviewing","https://app.docsumo.com/review-document/bb57163bcf444fbea80bb179749e8410",""
"Oise","180 022","807 852","22,3","Scolatiration 2022.pdf","bb57163bcf444fbea80bb179749e8410","table_vision","api","","","","2025-03-06T10:45:13+00:00","2025-03-06T10:45:39+00:00","reviewing","https://app.docsumo.com/review-document/bb57163bcf444fbea80bb179749e8410",""
"Somme","138 467","573 323","24,2","Scolatiration 2022.pdf","bb57163bcf444fbea80bb179749e8410","table_vision","api","","","","2025-03-06T10:45:13+00:00","2025-03-06T10:45:39+00:00","reviewing","https://app.docsumo.com/review-document/bb57163bcf444fbea80bb179749e8410",""
"Amiens","432 782","1 924 644","22,5","Scolatiration 2022.pdf","bb57163bcf444fbea80bb179749e8410","table_vision","api","","","","2025-03-06T10:45:13+00:00","2025-03-06T10:45:39+00:00","reviewing","https://app.docsumo.com/review-document/bb57163bcf444fbea80bb179749e8410",""
"Doubs","127 741","531 724","24,0","Scolatiration 2022.pdf","bb57163bcf444fbea80bb179749e8410","table_vision","api","","","","2025-03-06T10:45:13+00:00","2025-03-06T10:45:39+00:00","reviewing","https://app.docsumo.com/review-document/bb57163bcf444fbea80bb179749e8410",""
