"Tables Départements et académies",Tables Effectifs scolarisés (1),Tables Évolution 2020/2021 (%),Tables Effectifs d’habitants,Tables Taux de scolari- sation (%),title,doc_id,type,uploaded_from,doc_meta_data,folder_name,folder_id,created_at_iso,modified_at_iso,status,review_url,user_doc_id
Allier,57 505,"- 0,5",333 713,"17,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Cantal,22 127,"- 0,8",143 863,"15,4",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Haute-Loire,42 960,"- 0,4",226 971,"18,9",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Puy-de-Dôme,156 379,"0,0",668 941,"23,4",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Clermont-Ferrand,278 971,"- 0,2",1 373 488,"20,3",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Ardèche,60 085,"- 0,5",332 158,"18,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Drôme,104 424,"0,0",521 666,"20,0",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Isère,321 594,"0,0",1 290 472,"24,9",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Savoie,96 918,"0,6",445 515,"21,8",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Haute-Savoie,171 969,"0,8",853 312,"20,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
