Departement,Effectifs scolarisés,Effectifs habitants,Taux de scolarisation
Hautes-Alpes,25 919,137 952,"18,8"
Bouches-du-Rhône,467 111,1 988 563,"23,5"
Vaucluse,122 936,547 181,"22,5"
Aisne,114 293,543 469,"21,0"
Oise,180 022,807 852,"22,3"
Somme,138 467,573 323,"24,2"
Doubs,127 741,531 724,"24,0"
Jura,52 820,263 341,"20,1"
Haute-Saône,47 301,241 045,"19,6"
Territoire de Belfort,33 657,143 895,"23,4"
Dordogne,69 517,420 842,"16,5"
Gironde,349 367,1 475 543,"23,7"
Landes,69 900,390 741,"17,9"
Lot-et-Garonne,60 470,336 758,"18,0"
Pyrénées-Atlantiques,134 402,664 021,"20,2"
Calvados,161 647,687 164,"23,5"
Manche,98 315,501 014,"19,6"
Orne,58 024,292 773,"19,8"
Allier,61 635,344 442,"17,9"
Cantal,24 878,148 680,"16,7"
Haute-Loire,45 212,224 831,"20,1"
Puy-de-Dôme,146 776,635 241,"23,1"
Corse-du-Sud,23 037,146 856,"15,7"
Haute-Corse,29 842,169 290,"17,6"
Seine-et-Marne,321 326,1 341 031,"24,0"
Seine-Saint-Denis,381 776,1 544 397,"24,7"
Val-de-Marne,297 845,1 347 287,"22,1"
Côte-d'Or,127 932,526 438,"24,3"
Nièvre,38 352,219 873,"17,4"
Saône-et-Loire,103 743,557 277,"18,6"
Yonne,64 995,343 421,"18,9"
Ardèche,61 782,321 041,"19,2"
Drôme,104 316,492 903,"21,2"
Isère,302 173,1 228 251,"24,6"
Savoie,90 063,422 552,"21,3"
Haute-Savoie,159 957,751 083,"21,3"
Nord,670 100,2 586 577,"25,9"
Pas-de-Calais,335 640,1 466 529,"22,9"
Corrèze,43 316,244 764,"17,7"
Creuse,18 398,123 435,"14,9"
Haute-Vienne,76 771,378 062,"20,3"
Ain,125 620,606 349,"20,7"
Loire,171 591,762 412,"22,5"
Rhône,483 264,1 759 466,"27,5"
Aude,67 455,362 961,"18,6"
Gard,149 391,724 213,"20,6"
Hérault,264 690,1 066 702,"24,8"
Lozère,16 123,78 346,"20,6"
Pyrénées-Orientales,91 042,457 667,"19,9"
Meurthe-et-Moselle,178 963,733 965,"24,4"
Meuse,37 037,194 501,"19,0"
Moselle,211 539,1 046 435,"20,2"
Vosges,75 718,380 827,"19,9"
Loire-Atlantique,320 679,1 303 945,"24,6"
Maine-et-Loire,200 207,797 303,"25,1"
Mayenne,66 869,310 633,"21,5"
Sarthe,125 306,572 154,"21,9"
Vendée,132 422,645 615,"20,5"
Alpes-Maritimes,229 099,1 085 684,"21,1"
Var,195 245,1 015 809,"19,2"
Cher,55 794,313 021,"17,8"
Eure-et-Loir,88 468,431 195,"20,5"
Indre,40 564,232 446,"17,5"
Indre-et-Loire,140 450,594 184,"23,6"
Loir-et-Cher,63 983,332 183,"19,3"
Loiret,148 747,660 395,"22,5"
Charente,65 156,355 265,"18,3"
Charente-Maritime,120 957,629 238,"19,2"
Deux-Sèvres,71 930,373 122,"19,3"
Vienne,103 398,432 028,"23,9"
Ardennes,56 955,282 244,"20,2"
Aube,64 970,302 719,"21,5"
Marne,135 514,564 577,"24,0"
Haute-Marne,34 509,183 448,"18,8"
Côtes-d'Armor,119 286,600 730,"19,9"
Finistère,196 221,911 288,"21,5"
Ille-et-Vilaine,268 032,1 004 403,"26,7"
Morbihan,154 333,733 418,"21,0"
Eure,123 688,590 820,"20,9"
Seine-Maritime,298 070,1 260 432,"23,6"
Bas-Rhin,258 646,1 103 217,"23,4"
Haut-Rhin,153 814,754 811,"20,4"
Ariège,26 550,154 223,"17,2"
Aveyron,50 443,281 102,"17,9"
Haute-Garonne,325 863,1 265 843,"25,7"
Gers,33 830,190 840,"17,7"
Lot,29 117,177 114,"16,4"
Hautes-Pyrénées,43 862,233 200,"18,8"
Tarn,73 886,382 111,"19,3"
Tarn-et-Garonne,48 898,246 112,"19,9"
Yvelines,336 281,1 425 498,"23,6"
Essonne,293 037,1 229 695,"23,8"
Hauts-de-Seine,369 728,1 593 002,"23,2"
Val-d'Oise,288 203,1 187 845,"24,3"
Guadeloupe,120 079,453 643,"26,5"
Guyane,78 864,240 901,"32,7"
Martinique,94 748,392 167,"24,2"
La Réunion,245 504,838 260,"29,3"
Hautes-Alpes,25 919,137 952,"18,8"
Bouches-du-Rhône,467 111,1 988 563,"23,5"
Vaucluse,122 936,547 181,"22,5"
Aisne,114 293,543 469,"21,0"
Oise,180 022,807 852,"22,3"
Somme,138 467,573 323,"24,2"
Doubs,127 741,531 724,"24,0"
Jura,52 820,263 341,"20,1"
Haute-Saône,47 301,241 045,"19,6"
Territoire de Belfort,33 657,143 895,"23,4"
Dordogne,69 517,420 842,"16,5"
Gironde,349 367,1 475 543,"23,7"
Landes,69 900,390 741,"17,9"
Lot-et-Garonne,60 470,336 758,"18,0"
Pyrénées-Atlantiques,134 402,664 021,"20,2"
Calvados,161 647,687 164,"23,5"
Manche,98 315,501 014,"19,6"
Orne,58 024,292 773,"19,8"
Allier,61 635,344 442,"17,9"
Cantal,24 878,148 680,"16,7"
Haute-Loire,45 212,224 831,"20,1"
Puy-de-Dôme,146 776,635 241,"23,1"
Corse-du-Sud,23 037,146 856,"15,7"
Haute-Corse,29 842,169 290,"17,6"
